company,headquarters,served_countries,number_of_locations,number_of_employees,number_of_locations_num,number_of_employees_num,countries_count,company_id
7-Eleven,Japan United States,"Australia, Canada, China, Cambodia, Denmark, Hong Kong, Israel, Macau, Malaysia, Mexico, Norway, Philippines, Singapore, South Korea, Sweden, Taiwan, Thailand",85000,170000,85000.0,170000.0,17,1
Aeon,Japan,"Australia, Cambodia, China, Hong Kong, India, Indonesia, Laos, Malaysia, Mongolia, Philippines, Singapore, South Korea, Taiwan, Thailand, Vietnam",20008,"560,000+",20008.0,560.0,15,2
Ahold Delhaize,Netherlands,"Belgium (as Albert Heijn and Delhaize), Czech Republic (as Albert), Greece (as Alfa-Beta Vassilopoulos), Indonesia (as Super Indo), Netherlands (as Albert Heijn, Gall&Gall and Etos), Luxembourg (as Delhaize), Portugal (as Pingo Doce), Romania (as Mega Image), Serbia (as Maxi), United States (as Food Lion, Giant, Hannaford, Stop & Shop)",7659,375000,7659.0,375000.0,14,3
Aldi,Germany (Süd And Nord),"Australia (Süd), Austria (Süd as Hofer), China (Süd), Hungary (Süd), Ireland (Süd), Italy (Süd), Slovenia (Süd as Hofer), Switzerland (Süd), United Kingdom (Süd), United States (Süd), Belgium (Nord), France (Nord), Luxembourg (Nord), Netherlands (Nord), Poland (Nord), Portugal (Nord), Spain (Nord), United States (Nord branded as Trader Joe's)","12,832 (13,419 if including Trader Joe's)",274172,1283213419.0,274172.0,18,4
Edeka,Germany,Denmark,13646,381000,13646.0,381000.0,1,5
Extra,Germany,,,9700,,9700.0,,6
Minimal,Germany,Poland,1500,,1500.0,,1,7
Auchan,France,"Spain, Luxembourg, Italy, Portugal, Poland, Romania, Hungary, Russia, Ukraine, Taiwan, Senegal, Côte d'Ivoire, Mauritania, Tadjikistan, Tunisia",2101,160407,2101.0,160407.0,15,8
Big C,Thailand,"Laos, Vietnam",1234,27000,1234.0,27000.0,2,9
Billa,Austria,"Bulgaria, Czech Republic, Slovakia",3645,76174,3645.0,76174.0,3,10
Bi̇m,Turkey,"Morocco, Egypt","10,330 or 13,525",37439,1033013525.0,37439.0,2,11
Carrefour,France,"Algeria, Argentina, Armenia, Bahrain, Belgium, Brazil, Cameroon, China, Cyprus, Dominican Republic, Egypt, Georgia, Indonesia, Irak, Israel, Italy, Ivory Coast, Jordan, Kenya, Kuwait, Lebanon, Madagascar, Mauritius, Morocco, Oman, Pakistan (""Hyper Star""), Poland, Qatar, Romania, Saudi Arabia, Senegal, Spain, Taiwan, The Bahamas, Tunisia, Turkey, Uganda, United Arab Emirates",13894,319565,13894.0,319565.0,38,12
Champion,France,"Belgium, Spain, Poland, Greece, Turkey, Argentina, Brazil",1000,45000,1000.0,45000.0,7,13
Casino,France,"Argentina (Grupo Éxito), Brazil (GPA), Cameroon (Bao), Colombia (Grupo Éxito), Uruguay (Grupo Éxito)",10800,196307,10800.0,196307.0,5,14
Cba,Hungary,"Bulgaria, Croatia, Czech Republic, Lithuania, Poland, Romania, Serbia, Slovakia",5203,30000,5203.0,30000.0,8,15
Cencosud,Chile,"Argentina, Brazil, Colombia, Peru",1471,126530,1471.0,126530.0,4,16
Chedraui,Mexico,United States,262,38000,262.0,38000.0,1,17
Conad,Italy,"Albania, China, Kosovo, Malta, San Marino",3410,32000,3410.0,32000.0,5,18
Co-Op Atlantic,Atlantic Canada,,,,,,,19
Coop Amba,Denmark,,1200,"36,000+",1200.0,36.0,,20
Coop Hungary,Hungary,,5000,32000,5000.0,32000.0,,21
Coop Italia,Italy,San Marino,1444,56682,1444.0,56682.0,1,22
Coop Nederlands,Netherlands,,242,,242.0,,,23
Coop Norge,Norway,,,2564,,2564.0,,24
Coop (Puerto Rico),Puerto Rico,,,,,,,25
Coop (Sweden),Sweden,,800 or 850,,800850.0,,,26
Co-Op Food,United Kingdom,,2564,,2564.0,,,27
Coop,Switzerland,Liechtenstein,2478,90307,2478.0,90307.0,1,28
Cora,France,"Belgium, Luxembourg, Romania",80,,80.0,,3,29
Costco,United States,"Australia, Canada, Japan, Mexico, South Korea, Spain, Sweden, Taiwan, United Kingdom, France, China, Puerto Rico, New Zealand, Iceland",861,316000,861.0,316000.0,14,30
Crai,Italy,"Albania, Malta, San Marino",3444,18000,3444.0,18000.0,3,31
Denner,Switzerland,Liechtenstein,860,,860.0,,1,32
Dunnes,Ireland,"Spain, United Kingdom, Portugal",138,15000,138.0,15000.0,3,33
Leclerc,France,"Andorra, Poland, Portugal, Réunion, Slovenia, Spain",1494,133000,1494.0,133000.0,6,34
Géant Casino,France,"Martinique, Djibouti, Uruguay, Qatar, Tunisia, Guadeloupe, Guyane, Wallis-et-Futuna, Libya",281,133000,281.0,133000.0,9,35
Dominick'S,United States,,116,18000,116.0,18000.0,,36
E-Mart,South Korea,"Mongolia, Vietnam",183,,183.0,,2,37
Eataly,Italy,"Brazil, Canada, France, Germany, Japan, Kuwait, Qatar, Russia, Saudi Arabia, South Korea, Sweden, Turkey, United Arab Emirates, United Kingdom, United States",45,,45.0,,15,38
Eurospin,Italy,"Slovenia, Croatia, Malta",1143,7000,1143.0,7000.0,3,39
Famila,Germany,Italy (franchisee of Selex),235,6600,235.0,6600.0,1,40
Familymart,Japan,"China, Indonesia, Malaysia, Philippines, Taiwan, Thailand, Vietnam",24941,16601,24941.0,16601.0,7,41
Four Square Supermarkets,New Zealand,Australia,224,,224.0,,1,42
H-E-B,United States,Mexico,420+,100000,420.0,100000.0,1,43
Intermarché,France,"Belgium, Portugal, Poland, Monaco",,100000,,100000.0,4,44
Isetan,Japan,"China, Malaysia, Singapore, Taiwan, Thailand",28,,28.0,,5,45
Ito-Yokado,Japan,China,178,,178.0,,1,46
Jeronimo Martins,Portugal,"Colombia branded as ARA, Poland branded as Biedronka","4,900+",123458,4.9,123458.0,2,47
Jusco,Japan,"China (mainland and Hong Kong), Malaysia, Taiwan",20008,"560,000+",20008.0,560.0,3,48
Kaufland,Germany,"Bulgaria, Croatia, Czech Republic, Montenegro, Moldova, Poland, Romania, Slovakia","1,500+",73000,1.5,73000.0,8,49
Kesko,Finland,"Belarus, Estonia, Latvia, Lithuania, Norway, Russia, Sweden",2000,22476,2000.0,22476.0,7,50
Konzum,Croatia,"Bosnia and Herzegovina, Serbia (branded as Idea)",700+,"10,000+",700.0,10.0,2,51
Lidl,Germany,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom, United States",12200,360000,12200.0,360000.0,30,52
